commit,date,msg,name
f197931404900e3e6895df3570b11b7a50f589d1,2016-03-26 12:57:37-04:00,new version of notable,icechen1/Notable
0be82093f174590b5b8847f2dc00564f137f848f,2016-03-26 13:00:57-04:00,README,icechen1/Notable
2569c4a14b10fe74fbca00d3bb658e9cce8db013,2016-04-06 00:34:07+09:00,Added Japanese translation,icechen1/Notable
90c527806e15a81835be6a16f0a0be1fd24b723b,2016-04-05 14:18:03-04:00,"Merge pull request #4 from naofum/master

Added Japanese translation",icechen1/Notable
b70d52f14e764cdc27a418cfa6957594c90254a0,2016-04-05 15:09:28-04:00,Version bump,icechen1/Notable
789174ed5a2d499ee49679ff8d7fe08bfc475b54,2016-04-09 21:53:45-04:00,add hungarian translation by Péter Wolf (.tnm),icechen1/Notable
fc2f6a7f50906cf157f5f8b8698829c3c2474f30,2016-04-12 00:01:48-04:00,Share app,icechen1/Notable
ea9e2f645f3e2ab5e086e7c8b923f96ad556083b,2016-05-12 19:56:39+02:00,The members of an interface declaration or class should appear in a pre-defined order,icechen1/Notable
ddd0a155a6069f117198cccef8a9a47770a75519,2016-05-13 03:30:11+02:00,Useless parentheses around expressions should be removed,icechen1/Notable
82f56cf14f647da6cb271fc308d4ed00c6b151e9,2016-05-13 03:35:36+02:00,String literals should not be duplicated,icechen1/Notable
03ec37884402f07e51ab7ec5c1a8c23f42d5603e,2016-05-13 11:00:49-04:00,"Merge pull request #8 from DevFactory/release/members-should-appear-in-predefined-order-fix-1

The members of an interface declaration or class should appear in a pre-defined order",icechen1/Notable
60c6eb7450aacf36d010d22ab3fc7eef1b791a67,2016-05-13 11:01:26-04:00,"Merge pull request #11 from DevFactory/release/remove-useless-parentheses-fix-1

Useless parentheses around expressions should be removed",icechen1/Notable
f83fc83805e14a751b3c1d9b46902397a72edcdf,2016-05-13 11:01:42-04:00,"Merge pull request #10 from DevFactory/release/remove-string-literals-duplications-fix-1

String literals should not be duplicated",icechen1/Notable
c01e96905461af53d6bd20c8a5616ab4eda765f8,2017-05-23 16:52:10+02:00,Add German translations,icechen1/Notable
adad4e123fc22d7a02d5f05d8d1226388c26f1cc,2017-05-30 16:00:02+02:00,Raise build dependency versions,icechen1/Notable
c7748cf2e7f439628517d2abe2c47f6c31c17257,2017-05-30 16:04:32+02:00,"Keep dialog open on long click of save button

To quickly add multiple notes, you can hold down the save button, which
clears the input field and save the reminder. Because this behaviour might
be confusing, it's disabled by default and can be enabled in the
preferences dialog.",icechen1/Notable
8cf3c45ef160eacd03c046f83e5846aad6d55158,2017-05-30 16:42:58+02:00,"Add preference to set notification visibility

Notifications aren't shown on the lock screen, because the might contain
sensible information. But it's also handy to have the notes on the lock
screen while on a shopping tour and marking the bought goods. Hence, let
the user decide in the preferences dialog, what he wants.",icechen1/Notable
dd2b149df7050c898df2c173e3792aed37d37b76,2017-05-30 16:59:31+02:00,"NotificationBuilder: Small code refactoring

Use getInt() instead of parseInt(getString()).",icechen1/Notable
aa9a844d9532d1d22ff063885f69ee1a86875f90,2017-05-30 19:10:23-07:00,"Merge pull request #12 from jo-so/master

Code updates and new features",icechen1/Notable
35e2e3455f97c05457c4c82a4db9093847c417ad,2017-05-30 21:24:09-07:00,update naming conventions,icechen1/Notable
36f036031f0fad9ac5a8e6d3922ce3fcbb9a53d5,2017-05-30 21:58:55-07:00,Fix problem with icon colors,icechen1/Notable
d1d626fa87a8feb6bae8775b56dd566c1ac5c3bf,2017-05-30 22:22:11-07:00,"Merge branch 'master' of https://github.com/icechen1/Notable

# Conflicts:
#	build.gradle
#	notable/build.gradle
#	notableLibrary/build.gradle
#	notablePro/build.gradle",icechen1/Notable
a5036ca7ab097f9579493e0d06f16997f685df8f,2017-05-30 22:45:38-07:00,FIx column issues + other bugs,icechen1/Notable
aa3e07249b8a43a088165b47002b1fc95c9406dc,2017-05-30 22:47:13-07:00,version bump,icechen1/Notable
595f554e9129e0c1a20300791aadfa4492db7d67,2017-05-30 23:02:17-07:00,History layout bugfix,icechen1/Notable
c0930e24a65284a8d2c523c045de151367c54b3b,2017-06-02 18:58:51+02:00,"Add jcenter() repo to buildscript deps (#13)

`com.android.tools.build:gradle:2.3.2` is not available in mavenCentral, but jCenter. You most likely havent noticed this because you have it already available locally and AndroidStudio does auto-fix those issues.",icechen1/Notable
52128872db3c7273c73340d10bd73732ac4e0be7,2018-12-07 06:21:01+01:00,"French translation + README.md (#16)

* Add two buttons to get the app

* Update strings.xml",icechen1/Notable
869332bef99072cc4d6cddabc4389b1af3e7231b,2014-03-16 02:02:37+01:00,Initial commit.,geecko86/QuickLyric
5ac5ed3bd5c675fee8351900ec16af91384a6162,2014-06-27 22:23:24+02:00,"Update to API lvl 20, fix build, reorganize project structure, update ReadMe",geecko86/QuickLyric
82677fd1f10a0a1a6313fe6a9429c4fd9789a5e9,2014-06-27 22:27:53+02:00,Delete release.keystore,geecko86/QuickLyric
39d6ec34436c6410932885dc2693a7f5b7e28d8b,2014-06-27 22:29:31+02:00,Update README,geecko86/QuickLyric
06d9324b99830f8214bf475541a50916512cd7c0,2014-06-27 22:31:16+02:00,"Merge branch 'master' of https://github.com/geecko86/QuickLyric

delete keystore",geecko86/QuickLyric
2dc449acd11646d3bd8db1424299ea71a777c9c5,2014-06-27 22:40:33+02:00,Edit .gitignore,geecko86/QuickLyric
ebe63e5431a86bbd43aefcea2c87fef697a45151,2014-07-05 05:14:30+02:00,Add proper 'About' screen with licensing informations. Fix crash,geecko86/QuickLyric
ab74185b508f11d8136851fd0b6c81ed33f914df,2014-09-17 21:32:08+02:00,Update ShowCaseView to 5.0 via Maven,geecko86/QuickLyric
bc5976368f184d05923f2d964837f274fa262295,2014-09-17 21:43:06+02:00,"Gracenote MusicID removed. Integration with Shazam and SoundHound. Open Lyrics from AZLyrics/LyricWikia/LyricsNMusic URLs, better showcaseview on first launch, fix bugs. App is now 100% free software",geecko86/QuickLyric
126b95e6e0fede2044403d27a17b2be030e3d26f,2014-09-18 04:22:28+02:00,Fix crash when opening URL pointing to a page for unlicensed lyrics,geecko86/QuickLyric
a1dac103c28527342fe4c2d51c3d8996d0c7b55e,2014-09-18 15:00:36+02:00,"Fix crash when sharing a non-shazam/soundhound URL to the app. Update translations, update layout, fix bugs.",geecko86/QuickLyric
87f3dda34646f46470b1ed147379ff8d682a6d93,2014-09-18 16:44:45+02:00,Fix build,geecko86/QuickLyric
65e20e12addbc9b9920ee9889dc117381555940c,2014-09-23 00:03:49+02:00,"Enhanced song detection, fixed cover art issues, fixed refresh icon not being animated when fetching results from MusicID, fixed ShowcaseView crashing the app",geecko86/QuickLyric
b42cbe66d3ed559f7e645be34ce1eda286d30769,2014-09-23 12:10:59+02:00,"Fix build, fix crash, minSDK is now 11, removed unused permission",geecko86/QuickLyric
78dbad7816336ba0dc74a54b823d219446d1a472,2014-09-29 02:24:05+02:00,Refined artist/track correction using Last.FM,geecko86/QuickLyric
82b1c40d4e4f64efb7ca9d9c13a09e842c872514,2014-10-04 20:55:18+02:00,Proper share intent + russian translation,geecko86/QuickLyric
0fc0095d30fc2daca1088130862af9590354743f,2014-10-04 21:25:43+02:00,Update strings.xml,geecko86/QuickLyric
0167aed6cde4df8d3d798fa9c1098f5dc78ff472,2014-10-04 21:32:12+02:00,Corrected Russian translation,geecko86/QuickLyric
165eb8257242698e380e6ba3bacbe9f8387e40a4,2014-10-04 21:32:41+02:00,Merge branch 'master' of https://github.com/geecko86/QuickLyric,geecko86/QuickLyric
961068a70419860f5d7651df6d1dcb8557c85caa,2014-10-04 21:39:21+02:00,Updated Polish Translation,geecko86/QuickLyric
