,name,commit,is_bug,issue_number,tmm,lm,lc,dc,lpl,smells
0,icechen1/Notable,c0930e24a65284a8d2c523c045de151367c54b3b,,,2,1,0,3,0,6
1,icechen1/Notable,595f554e9129e0c1a20300791aadfa4492db7d67,,,2,1,0,3,0,6
2,icechen1/Notable,dd2b149df7050c898df2c173e3792aed37d37b76,,,2,1,0,3,0,6
3,icechen1/Notable,03ec37884402f07e51ab7ec5c1a8c23f42d5603e,,,2,1,0,3,0,6
4,icechen1/Notable,60c6eb7450aacf36d010d22ab3fc7eef1b791a67,,,2,1,0,3,0,6
5,icechen1/Notable,82f56cf14f647da6cb271fc308d4ed00c6b151e9,,,2,1,0,3,0,6
6,icechen1/Notable,2569c4a14b10fe74fbca00d3bb658e9cce8db013,,,2,1,0,3,0,6
7,geecko86/QuickLyric,9c09852775d5e624f09c8a721fdf8e050fbaced2,,,8,10,1,2,0,21
8,geecko86/QuickLyric,5bb5c37a4191a22ec6bdb6f6d402e8282ca25b05,,,5,10,1,0,0,16
9,geecko86/QuickLyric,61506930ef9e4c7b11b6d2079b40e3367c98d012,,,5,10,1,0,0,16
10,geecko86/QuickLyric,92c55d996021ef76cb9b77438faebaa7567e8c4e,,,5,10,1,0,0,16
11,geecko86/QuickLyric,1bc7cb40f2a42d81c09315b74cb81cb74998207c,,,6,8,0,0,0,14
12,geecko86/QuickLyric,6228c9083d5ea3f71f6048c37512cf30ddd32b90,,,5,8,0,0,0,13
13,qqq3/good-weather,62eaca374bba76246296b1bcc6778ef0633b0dae,,,1,0,0,1,0,2
14,qqq3/good-weather,eaa70a66ae34bdb4298f59bcb731d1c4d1145aa5,,,1,0,0,1,0,2
15,qqq3/good-weather,8caa4c01fed95aff7c62d4d0f1acdecf20d426b7,,,1,0,0,1,0,2
16,qqq3/good-weather,477eb3af2244d41a4cabca70f308d4e4b45b91de,,,1,0,0,1,0,2
17,qqq3/good-weather,93b7d9fa95be15371f4512f6717438ac51d85e6d,,,1,0,0,1,0,2
18,qqq3/good-weather,ad0cfaf46ed208232ebb66dfb07f6d57958027e2,,,1,0,0,1,0,2
19,qqq3/good-weather,f8bd043353ee285ba706cbff64bd653ef03a1688,,,1,0,0,1,0,2
20,qqq3/good-weather,99703170531ea7e20e5d487b39ee5e69f148cb13,,,1,0,0,1,0,2
21,qqq3/good-weather,8ce51ba1b42f8ed0dfad4f0f69c9e7bcb2da998b,,,1,0,0,1,0,2
22,qqq3/good-weather,e1167a12e1ae7ab92e5e017296c453acaf5b4f02,,,1,0,0,1,0,2
23,qqq3/good-weather,709233ea311b64995d4ef1a18240a9d39e0e503b,,,1,0,0,1,0,2
24,SecUSo/privacy-friendly-shopping-list,d9720a7cd231eda0958b85922225d775c375ffde,,,4,3,0,21,0,28
25,SecUSo/privacy-friendly-shopping-list,60774272f8a090dc7b2c8eed78bab066e38ac880,,,4,3,0,21,0,28
26,SecUSo/privacy-friendly-shopping-list,c5fa663678b837b8c6d111e4bf750544577d37f6,,,4,3,0,21,0,28
27,SecUSo/privacy-friendly-shopping-list,8a21045e972fd73e5ea17c0bbe65dca13041e1c9,,,4,2,0,22,0,28
28,SecUSo/privacy-friendly-shopping-list,abbb4a38cd675010695c17de0abfef7418909f66,,,4,2,0,22,0,28
29,SecUSo/privacy-friendly-shopping-list,a703e9be87e18432f0447294cf01fd0f895c248f,,,4,2,0,22,0,28
30,SecUSo/privacy-friendly-shopping-list,a18aa20b154d90b29e37c7bf9e3f4d61c7c22ef9,,,4,2,0,22,0,28
31,SecUSo/privacy-friendly-shopping-list,95193c31d33a55d2fd771981518e2a868c65775d,,,4,2,0,22,0,28
32,SecUSo/privacy-friendly-shopping-list,52e2743887438cacb3c6ddf9204da03a45509152,,,4,2,0,22,0,28
33,SecUSo/privacy-friendly-shopping-list,fe3fbb0b8274ad8dff4724ff7a8d09910f72e261,,,3,2,0,22,0,27
34,SecUSo/privacy-friendly-shopping-list,4da40ba728e41a97c5eb98868dcb79905e23e7cf,,,3,2,0,22,0,27
35,SecUSo/privacy-friendly-shopping-list,b9a1efad637bb13c3ece6b415e92c2feed1c4fdf,,,3,2,0,22,0,27
