"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.geecko.QuickLyric","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/MainActivity.java","3","102","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.geecko.QuickLyric.adapter","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/adapter/IntroScreenSlidePagerAdapter.java","3","93","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.broadcastReceiver","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/broadcastReceiver/MusicBroadcastReceiver.java","3","53","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LocalLyricsFragment.java","3","96","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","112","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","166","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","542","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","818","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.services","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/services/NotificationListenerService.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.geecko.QuickLyric.tasks","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/tasks/DownloadThread.java","3","89","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.view","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/view/AnimatedExpandableListView.java","3","376","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.view","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/view/ControllableAppBarLayout.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.geecko.QuickLyric.lyrics","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/testFdroid/java/com/geecko/QuickLyric/lyrics/LyricsProviderTest.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
