"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.geecko.QuickLyric","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/AboutActivity.java","3","57","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/MainActivity.java","3","105","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.geecko.QuickLyric","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/MainActivity.java","3","126","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.adapter","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/adapter/IntroScreenSlidePagerAdapter.java","3","98","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.broadcastReceiver","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/broadcastReceiver/MusicBroadcastReceiver.java","3","53","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LocalLyricsFragment.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LocalLyricsFragment.java","3","97","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","121","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","121","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","175","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","549","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","871","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.services","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/services/NotificationListenerService.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.geecko.QuickLyric.tasks","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/tasks/DownloadThread.java","3","91","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.view","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/view/AnimatedExpandableListView.java","3","378","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.view","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/view/ControllableAppBarLayout.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
