"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.geecko.QuickLyric","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/MainActivity.java","3","112","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.geecko.QuickLyric","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/MainActivity.java","3","134","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.adapter","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/adapter/IntroScreenSlidePagerAdapter.java","3","104","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.adapter","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/adapter/RecentTracksAdapter.java","3","31","The class 'ViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.geecko.QuickLyric.broadcastReceiver","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/broadcastReceiver/MusicBroadcastReceiver.java","3","58","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LocalLyricsFragment.java","3","84","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LocalLyricsFragment.java","3","104","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LocalLyricsFragment.java","3","406","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","121","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","121","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","175","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","538","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/LyricsViewFragment.java","3","874","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.fragment","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/fragment/RecentTracksFragment.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.geecko.QuickLyric.services","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/services/LyricsOverlayService.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.geecko.QuickLyric.services","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/services/NotificationListenerService.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.geecko.QuickLyric.tasks","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/tasks/DownloadThread.java","3","92","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.view","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/view/AnimatedExpandableListView.java","3","46","The class 'AnimatedExpandableListView' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=4, WMC=17)","Design","DataClass"
"2","com.geecko.QuickLyric.view","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/view/AnimatedExpandableListView.java","3","389","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.geecko.QuickLyric.view","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/view/ControllableAppBarLayout.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.geecko.QuickLyric.view","/home/matheus/smells-pull-request/repositories/geecko86_QuickLyric/QuickLyric/src/main/java/com/geecko/QuickLyric/view/OverlayContentLayout.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
